,proteinName,affinity,ligandName
4304,1ql7,5.0,(ZEN)
4305,1r6z,5.0,(MAL)
4306,1sbr,5.0,(VIB)
4308,1uvu,5.0,(DCH)
4309,1w2h,5.0,(ATM)
4310,1yid,5.0,(ATP)
4312,2aig,5.0,(0GR)
4313,2bgd,5.0,(T1D)
4316,2oiq,5.0,(STI)
4317,2oym,5.0,(MNI)
4318,2qcn,5.0,(U5P)
4319,2vxn,5.0,(PGH)
4322,2y6c,5.0,(TQI)
4323,3b5y,5.0,(ANP)
4324,3cfn,5.0,(2AN)
4325,3d1g,5.0,(322)
4326,3dkg,5.0,(SX8)
4327,3dp1,5.0,(2RB)
4329,3ezr,5.0,(EZR)
4330,3gbe,5.0,(NOJ)
4331,3k02,5.0,(TXT)
4332,3new,5.0,(3NE)
4335,3pax,5.0,(3MB)
4336,3sv9,5.0,(SV6)
4337,3ufa,5.0,(VPF)
4339,3uqg,5.0,(B5A)
4340,3vbv,5.0,(0FK)
4341,4b78,5.0,(KGG)
4342,4cts,5.0,(OAA)
4344,4g11,5.0,(0W7)
4345,4iu4,5.0,(S2C)
4346,4lv4,5.0,(8HC)
4347,4mdt,5.0,(24G)
4348,4mw7,5.0,(2EF)
4349,4n5g,5.0,(K09)
4350,4n8r,5.0,(K08)
4352,4o7c,5.0,(2RK)
4353,4oi6,5.0,(CIT)
4354,4p74,5.0,(2U9)
4355,4pnq,5.0,(32X)
4356,4rn1,5.0,(L8G)
4357,4u6c,5.0,(Q06)
4358,4waf,5.0,(3K6)
4359,4xbb,5.0,(3ZR)
4360,4xoe,5.0,(KGM)
4361,4xsx,5.0,(42S)
4362,4xxh,5.0,(T6P)
4363,4zh2,5.0,(4OB)
4364,4zsg,5.0,(4QX)
4365,4zsl,5.0,(4QZ)
4366,5aux,5.0,(KMP)
4368,5dl1,5.0,(5C2)
4369,5evb,5.0,(3R9)
4370,5evd,5.0,(VC2)
4371,5itp,5.0,(6DB)
4372,5iui,5.0,(45Q)
4373,5lj2,5.0,(6XW)
4374,5lpj,5.0,(XDM)
4375,5myl,5.0,(Q2N)
4376,5nkk,5.0,(GDP)
4377,5nq5,5.0,(952)
4378,5o3r,5.0,(AMP)
4379,5wi1,5.0,(AOY)
4381,5yft,5.0,(RI2)
4383,6bto,5.0,(E8P)
4384,6ft7,5.0,(E6Q)
4385,6g7f,5.0,(EPW)
4387,2glp,5.01,(BDE)
4388,2i1r,5.01,(VXR)
4389,3ads,5.01,(IMN)
4390,3mxs,5.01,(CZ9)
4393,4agq,5.01,(P96)
4395,4dds,5.01,(0J7)
4396,4m5g,5.01,(YH1)
4397,4qz4,5.01,(04C)
4398,4u4x,5.01,(3C2)
4399,4uzh,5.01,(JVE)
4400,4yyl,5.01,(4KN)
4401,5am2,5.01,(KUF)
4402,5fom,5.01,(A2H)
4404,5oa2,5.01,(9PW)
4405,1fsg,5.02,(9DG)
4407,2cct,5.02,(2E1)
4408,2d0k,5.02,(FOL)
4410,2or4,5.02,(QUS)
4411,2wji,5.02,(GNP)
4412,2xbp,5.02,(ATP)
4413,3bgc,5.02,(LJH)
4414,3smq,5.02,(TDU)
4415,3usx,5.02,(MYR)
4418,4l7r,5.02,(M00)
4420,4nro,5.02,(AKG)
4421,4rlk,5.02,(E91)
4422,4rll,5.02,(E91)
4423,4u70,5.02,(Q04)
4424,4w4s,5.02,(B29)
4425,4w9l,5.02,(3JJ)
4426,5d1s,5.02,(56Q)
4427,5du6,5.02,(G59)
4430,1i1e,5.03,(DM2)
4432,3aje,5.03,(THR)
4433,3rdh,5.03,(3RD)
4434,4io5,5.03,(ALA)
4436,4np9,5.03,(I3P)
4437,4rcg,5.03,(GDP)
4439,4y6s,5.03,(48S)
4441,4yat,5.03,(4A8)
4444,5mrm,5.03,(Q9T)
4445,5n3y,5.03,(8L2)
4446,5nyz,5.03,(DUP)
4447,5nz2,5.03,(DUP)
4448,5wio,5.03,(XXE)
4449,5x4p,5.03,(7ZO)
4452,6emu,5.03,(SAM)
4454,6fmi,5.03,(DV2)
4455,1m5d,5.04,(BRH)
4459,2oht,5.04,(IP6)
4461,2wmv,5.04,(ZYV)
4462,3tz0,5.04,(03H)
4463,3v4j,5.04,(PQR)
4464,4dgr,5.04,(3LV)
4465,4jaz,5.04,(STL)
4466,4jym,5.04,(KKN)
4468,4lph,5.04,(YL3)
4470,4yp1,5.04,(2BA)
4471,4yuz,5.04,(4JV)
4474,5d3n,5.04,(L40)
4475,5f25,5.04,(5TU)
4476,5loh,5.04,(STU)
4479,5xyy,5.04,(P0F)
4481,1dgm,5.05,(ADN)
4482,1fkw,5.05,(PUR)
4483,1gi8,5.05,(BMZ)
4484,1qxk,5.05,(429)
4485,1uu8,5.05,(BI1)
4486,2brc,5.05,(CT5)
4488,3aau,5.05,(GZC)
4489,3fpm,5.05,(793)
4490,3hxd,5.05,(BD7)
4491,3s2o,5.05,(EV6)
4492,3s76,5.05,(EVH)
4495,3zjc,5.05,(GNP)
4496,4c94,5.05,(KXN)
4497,4euo,5.05,(ABU)
4499,4ie7,5.05,(RHN)
4501,4oct,5.05,(AKG)
4503,4pnw,5.05,(2VM)
4504,4rqv,5.05,(R2S)
4506,4y2y,5.05,(49Z)
4507,4yzu,5.05,(4K6)
4508,5acx,5.05,(WL3)
4509,5auw,5.05,(QUE)
4510,5f29,5.05,(2BA)
4511,5i3a,5.05,(HQE)
4513,5nxy,5.05,(1Y8)
4515,5xvk,5.05,(8GC)
4516,5xvq,5.05,(8GC)
4518,6bmi,5.05,(SER)
4519,6d50,5.05,(GCB)
4521,6exi,5.05,(ADN)
4523,2ipo,5.06,(1IP)
4524,2v77,5.06,(PAY)
4526,2yge,5.06,(GDM)
4527,3f68,5.06,(91U)
4529,4cfx,5.06,(G6T)
4530,4ebw,5.06,(0PF)
4531,4h7q,5.06,(COI)
4534,5c1w,5.06,(4XS)
4535,5ega,5.06,(GK0)
4536,5h14,5.06,(LQB)
4537,5i0b,5.06,(67U)
4539,5luu,5.06,(77X)
4540,5ops,5.06,(A3Q)
4541,5tri,5.06,(7HM)
4542,5vjn,5.06,(IR8)
4543,2c3l,5.07,(IDZ)
4544,2i7c,5.07,(AAT)
4545,2xm1,5.07,(LTM)
4546,2yfa,5.07,(LMR)
4547,3axm,5.07,(6PG)
4548,3juo,5.07,(AJD)
4549,3r00,5.07,(UNJ)
4550,4eok,5.07,(4SP)
4551,4f8j,5.07,(HC4)
4552,4knz,5.07,(UMC)
4553,4yab,5.07,(4CN)
4554,5ak3,5.07,(XM0)
4555,5dg6,5.07,(V66)
4556,5hwv,5.07,(MBN)
4557,5l87,5.07,(6RD)
4558,5u12,5.07,(5RU)
4560,6dik,5.07,(GKP)
4561,6dq6,5.07,(H6J)
4562,1enu,5.08,(APZ)
4563,1gfy,5.08,(COL)
4564,2qtg,5.08,(MTH)
4565,3efr,5.08,(BTN)
4566,3m94,5.08,(M7M)
4567,3nw5,5.08,(LGX)
4568,3qsb,5.08,(743)
4569,3qyy,5.08,(C2E)
4571,3tb6,5.08,(ARB)
4572,3w2o,5.08,(03P)
4573,4drk,5.08,(I63)
4574,4ie0,5.08,(PD2)
4575,4mho,5.08,(26M)
4576,4ock,5.08,(ANP)
4577,4ocv,5.08,(ANP)
4579,4oiv,5.08,(XX9)
4580,4twd,5.08,(377)
4581,4xx9,5.08,(RF4)
4582,4z2h,5.08,(M6A)
4584,5i13,5.08,(4P9)
4585,5j32,5.08,(IPM)
4586,5n2t,5.08,(8KK)
4587,5trh,5.08,(7HL)
4588,1m48,5.09,(FRG)
4589,1nw7,5.09,(SAH)
4590,1yyy,5.09,(0KV)
4591,1zkl,5.09,(IBM)
4592,2y1o,5.09,(T26)
4593,2ygf,5.09,(GDM)
4594,2yk9,5.09,(YK9)
4595,3hbo,5.09,(2NC)
4597,3w2p,5.09,(W2P)
4598,4c72,5.09,(TLG)
4599,4cq0,5.09,(SXS)
4600,4f6x,5.09,(ZYL)
4601,4qvy,5.09,(BO2)
4602,4r4q,5.09,(3HZ)
4604,4x3u,5.09,(SVR)
4605,4xpj,5.09,(LPY)
4606,5fhm,5.09,(5XP)
4609,5jmx,5.09,(DZ5)
4610,5o9p,5.09,(9P8)
4612,1b9t,5.1,(RAI)
4614,1kmy,5.1,(BPY)
4615,1m6p,5.1,(M6P)
4616,1o0o,5.1,(A2P)
4618,1onz,5.1,(968)
4621,1t4j,5.1,(FRJ)
4625,1w7g,5.1,(MIU)
4627,1yvx,5.1,(IPC)
4628,1zaj,5.1,(M2P)
4629,2am2,5.1,(2LG)
4631,2h5a,5.1,(X1P)
4634,2qrq,5.1,(S13)
4636,2r9w,5.1,(23C)
4637,3bxs,5.1,(DRS)
4638,3gy4,5.1,(PBZ)
4639,3h22,5.1,(B53)
4640,3nif,5.1,(NIF)
4641,3p4v,5.1,(PMX)
4643,3syr,5.1,(GPK)
4645,3ujb,5.1,(SAH)
4646,3vp2,5.1,(BP0)
4648,4b77,5.1,(54M)
4650,4dcs,5.1,(GDP)
4654,4qsh,5.1,(2BA)
4655,4qsk,5.1,(2BA)
4656,4qvn,5.1,(BO2)
4657,4rkx,5.1,(3S9)
4658,4rn6,5.1,(15U)
4662,4ydf,5.1,(4B1)
4663,5d3h,5.1,(57G)
4664,5f39,5.1,(5UB)
4666,5q1h,5.1,(9NP)
4667,5xhr,5.1,(PXH)
4668,6ap8,5.1,(BNY)
4669,6ce6,5.1,(EYP)
4670,1k4h,5.11,(APQ)
4671,1yp9,5.11,(UIZ)
4673,3gpj,5.11,(SY2)
4674,3hnb,5.11,(768)
4675,3k4d,5.11,(EVA)
4676,3ozj,5.11,(BGV)
4677,4b6u,5.11,(M7G)
4678,4e49,5.11,(RCO)
4679,4em7,5.11,(0RA)
4682,5c7d,5.11,(4YF)
4683,5kej,5.11,(GTX)
4684,5lbq,5.11,(767)
4685,5lm6,5.11,(H32)
4686,5ngf,5.11,(8WN)
4687,5ogk,5.11,(GDD)
4688,5u0e,5.11,(7R4)
4689,5vqu,5.11,(9JP)
4690,5y0x,5.11,(8JR)
4692,1qaw,5.12,(TRP)
4693,1uv6,5.12,(CCE)
4694,2i5f,5.12,(5IP)
4695,2web,5.12,(PP4)
4697,2yjw,5.12,(YJW)
4698,2yjx,5.12,(YJX)
4699,3bki,5.12,(FQX)
4700,3hb8,5.12,(UMP)
4701,3kad,5.12,(4C0)
4702,3n2c,5.12,(LWY)
4704,3tu9,5.12,(5MM)
4705,3zso,5.12,(O2N)
4706,4ay6,5.12,(12V)
4707,4bio,5.12,(8XQ)
4708,4f1l,5.12,(0RY)
4709,4gj6,5.12,(0LS)
4710,4h81,5.12,(WJ2)
4711,4kiw,5.12,(KIW)
4712,4m5n,5.12,(YH7)
4713,4pci,5.12,(2NJ)
4714,4zed,5.12,(AGW)
4715,5d1w,5.12,(PLM)
4716,5f74,5.12,(AMP)
4717,5vsb,5.12,(9QA)
4720,6bh8,5.12,(RDF)
4721,1gcz,5.13,(YZ9)
4722,1hti,5.13,(PGA)
4725,3aza,5.13,(KM0)
4726,3o8g,5.13,(O8G)
4727,3s9e,5.13,(GLU)
4728,3wk4,5.13,(S0A)
4730,4flj,5.13,(Y08)
4731,4l7c,5.13,(1VW)
4732,4qms,5.13,(1N1)
4733,5d3p,5.13,(57E)
4735,6f9u,5.13,(D0W)
4737,1w2x,5.14,(RCP)
4738,1y3x,5.14,(UIB)
4739,1zzz,5.14,(0IV)
4740,2br1,5.14,(PFP)
4741,2hqu,5.14,(DUP)
4743,2xi7,5.14,(XI7)
4744,2yaz,5.14,(UMP)
4745,2zjv,5.14,(CT4)
4746,3bls,5.14,(APB)
4747,3kr2,5.14,(ET2)
4748,3pj2,5.14,(04K)
4750,3tao,5.14,(PGH)
4752,4aua,5.14,(4AU)
4753,4bdj,5.14,(Z2M)
4754,4c1g,5.14,(MCO)
4755,4ejl,5.14,(IOP)
4756,4iks,5.14,(TFD)
4757,4qw0,5.14,(BO2)
4758,4xjt,5.14,(41Z)
4760,5kva,5.14,(SAM)
4761,5q11,5.14,(9M7)
4762,5zh4,5.14,(9CC)
4763,6b7c,5.14,(CWP)
4764,6dak,5.14,(G1Y)
4765,6gw1,5.14,(CHO)
4767,6mvx,5.14,(K4D)
4768,6mx3,5.14,(K5P)
4769,1g6s,5.15,(S3P)
4770,1jcx,5.15,(PAI)
4771,1jvu,5.15,(C2P)
4773,1ljt,5.15,(HDI)
4774,1lkx,5.15,(ADP)
4775,1mzs,5.15,(669)
4776,1o0m,5.15,(U2P)
4777,1pb8,5.15,(DSN)
4778,1qk3,5.15,(5GP)
4779,1qxw,5.15,(M1C)
4780,1s38,5.15,(MAQ)
4781,1skj,5.15,(UR2)
4782,1t1s,5.15,(CBQ)
4783,1thz,5.15,(326)
4784,2afx,5.15,(1BN)
4785,2go4,5.15,(TUX)
4786,2gtv,5.15,(TSA)
4788,2o5d,5.15,(VR1)
4789,2ooz,5.15,(OX5)
4795,3e6k,5.15,(ABH)
4796,3l5c,5.15,(BDQ)
4797,3msl,5.15,(EV5)
4798,3n49,5.15,(3N4)
4799,3ozr,5.15,(OZR)
4800,3p8e,5.15,(LN7)
4801,3udn,5.15,(09B)
4802,4b83,5.15,(B3V)
4803,4h85,5.15,(HRI)
4804,4jpx,5.15,(PHE)
4805,4pce,5.15,(2N0)
4806,4qip,5.15,(SDS)
4807,4qrh,5.15,(0O2)
4808,4qvv,5.15,(BO2)
4809,4qzw,5.15,(04C)
4810,4w9e,5.15,(3JT)
4811,5alw,5.15,(JQN)
4812,5djp,5.15,(5BJ)
4814,5kqg,5.15,(6VX)
4815,5mwz,5.15,(KGU)
4816,5vew,5.15,(97Y)
4817,5xg4,5.15,(QUE)
4818,5y2f,5.15,(8L9)
4819,6b95,5.15,(D0P)
4820,6f8t,5.15,(CZT)
4821,1jqd,5.16,(SAH)
4822,1oe0,5.16,(TTP)
4823,1q1m,5.16,(234)
4825,2y2k,5.16,(ZA5)
4826,3b27,5.16,(B2T)
4827,3ctr,5.16,(MGP)
4829,4fqo,5.16,(AZ3)
4830,5ow8,5.16,(AYN)
4831,5th7,5.16,(75P)
4833,5v83,5.16,(8Z7)
4834,6mjf,5.16,(SAH)
4835,1q0b,5.17,(NAT)
4836,2f5t,5.17,(MAL)
4838,2zfp,5.17,(19U)
4839,3b7j,5.17,(JUG)
4842,3rni,5.17,(21Z)
4843,3tc5,5.17,(3T5)
4846,4gkm,5.17,(683)
4848,4kp4,5.17,(ANP)
4849,4m5i,5.17,(YH6)
4851,5ahw,5.17,(CMP)
4852,5aut,5.17,(2AN)
4853,5diq,5.17,(5B9)
4854,5fdz,5.17,(5X0)
4855,5hm3,5.17,(649)
4857,5ubg,5.17,(PRT)
4858,6cbf,5.17,(EWD)
4860,6hf5,5.17,(G1N)
4861,6hwz,5.17,(GXE)
4862,1ft7,5.18,(PLU)
4863,1xur,5.18,(PB5)
4864,2p9a,5.18,(YE6)
4865,2qrg,5.18,(M07)
4867,3kag,5.18,(4D7)
4868,3w37,5.18,(ACR)
4869,4duh,5.18,(RLI)
4870,4iif,5.18,(CTS)
4871,4u73,5.18,(Q02)
4872,4zs3,5.18,(A4F)
4873,5tbp,5.18,(7A4)
4874,6ar9,5.18,(3L4)
4875,6dnp,5.18,(GZV)
4878,1oxr,5.19,(AIN)
4879,1rnt,5.19,(2GP)
4880,2c5o,5.19,(CK2)
4881,2ko7,5.19,(JZF)
4882,2lha,5.19,(IHP)
4885,2qdt,5.19,(I38)
4886,2xey,5.19,(YVQ)
4887,3kjn,5.19,(B93)
4888,3s1g,5.19,(ITE)
4891,3vfq,5.19,(AR6)
4893,4fxf,5.19,(FBP)
4894,4g0l,5.19,(GSH)
4895,4m0z,5.19,(M0Z)
4896,4ono,5.19,(PMK)
4898,5h21,5.19,(RMR)
4899,5otz,5.19,(AUT)
4900,6cj5,5.19,(F4G)
4901,6dq5,5.19,(H6G)
4903,2pmn,5.2,(K51)
4904,3kqs,5.2,(AX7)
4906,3qj0,5.2,(QI3)
4908,3tjm,5.2,(7FA)
4909,3uu1,5.2,(14B)
4910,3wk6,5.2,(S0B)
4911,4a6s,5.2,(GS9)
4912,4b70,5.2,(WM9)
4913,4bw2,5.2,(UTH)
4917,4mk0,5.2,(29X)
4918,4qvq,5.2,(BO2)
4919,5a7j,5.2,(K2Y)
4920,5aia,5.2,(KWB)
4922,5f91,5.2,(5WJ)
4923,5g1p,5.2,(CP)
4924,5hg1,5.2,(62C)
4926,5q10,5.2,(9M4)
4927,1nw5,5.21,(SAM)
4928,1o2r,5.21,(CR9)
4930,1re1,5.21,(NA3)
4931,2brg,5.21,(DFY)
4932,2mlm,5.21,(2W7)
4933,3b2t,5.21,(M33)
4934,3bcs,5.21,(CJB)
4935,3ilq,5.21,(1O2)
4936,3nsq,5.21,(CHZ)
4937,3qiz,5.21,(QI2)
4938,3rth,5.21,(RTH)
4940,4cwo,5.21,(T62)
4941,4few,5.21,(PP2)
4942,4h2m,5.21,(0YV)
4943,4ifh,5.21,(1EF)
4945,4m0r,5.21,(644)
4946,4mds,5.21,(23H)
4947,4qz2,5.21,(04C)
4948,5e0j,5.21,(5LJ)
4949,5mxr,5.21,(JTY)
4950,5o9q,5.21,(9PH)
4951,5oje,5.21,(VSK)
4952,5trk,5.21,(7HH)
4953,5ty1,5.21,(7QV)
4954,5ty9,5.21,(7QV)
4955,5wag,5.21,(A0V)
4956,5x13,5.21,(HC4)
4957,6asu,5.21,(BVS)
4958,6f8b,5.21,(CXH)
4961,7prc,5.21,(CET)
4962,16pk,5.22,(BIS)
4963,1bq4,5.22,(BHC)
4965,1gi9,5.22,(123)
4966,1gjd,5.22,(136)
4967,1h1h,5.22,(A2P)
4969,1j17,5.22,(ZEN)
4970,1o5c,5.22,(CR9)
4971,1pw6,5.22,(FRB)
4972,1ucn,5.22,(ADP)
4973,1w4o,5.22,(UA3)
4975,1zz2,5.22,(B11)
4976,2gnf,5.22,(Y27)
4977,2gnj,5.22,(Y27)
4978,2gz2,5.22,(A2P)
4979,2hxm,5.22,(302)
4982,2rfy,5.22,(CBI)
4983,2wzm,5.22,(NA7)
4984,2xow,5.22,(ISM)
4985,2xwy,5.22,(IB8)
4986,2zxd,5.22,(ZXD)
4987,3dne,5.22,(LL1)
4990,3ijz,5.22,(15C)
4991,3iof,5.22,(IFS)
4992,3lq2,5.22,(TDP)
4993,3lq4,5.22,(TDP)
4994,3ms9,5.22,(MS9)
4995,3n1c,5.22,(F6P)
4996,3n5j,5.22,(GO1)
4998,3o6t,5.22,(PX5)
4999,3osi,5.22,(XDH)
5000,3ppp,5.22,(BET)
5001,3q71,5.22,(AR6)
5002,3qxt,5.22,(MTX)
5003,3udp,5.22,(09D)
5004,3vbw,5.22,(0FN)
5005,4kup,5.22,(1TZ)
5006,4lrr,5.22,(CF9)
5007,4r5g,5.22,(3JE)
5008,4u71,5.22,(Q03)
5009,4z8d,5.22,(4LB)
5010,5cgj,5.22,(51M)
5011,5dhs,5.22,(5AG)
5012,5dkr,5.22,(5CZ)
5013,5ev8,5.22,(3R9)
5014,5ioy,5.22,(6C5)
5015,5ja0,5.22,(FPP)
5018,6di0,5.22,(GJG)
5019,6f4n,5.22,(AKG)
5021,1ndw,5.23,(FR2)
5022,2q38,5.23,(LSA)
5023,3dcq,5.23,(2G0)
5024,3lc3,5.23,(IYX)
5025,3pxy,5.23,(JWS)
5026,3pxz,5.23,(JWS)
5028,4m5k,5.23,(YH3)
5029,4mh7,5.23,(MH7)
5030,4qp7,5.23,(363)
5032,5tzo,5.23,(7V7)
5034,6bhv,5.23,(DQV)
5036,1hk5,5.24,(T44)
5037,1q8w,5.24,(M77)
5038,1s89,5.24,(PGA)
5039,1zrz,5.24,(BI1)
5043,2qq7,5.24,(SR2)
5044,2vgc,5.24,(V35)
5045,2vvt,5.24,(I24)
5047,3e16,5.24,(B4C)
5049,3mle,5.24,(ADP)
5050,3mqf,5.24,(20X)
5051,3okh,5.24,(OKH)
5052,3pb8,5.24,(AHN)
5053,3qck,5.24,(NX5)
5054,3qxh,5.24,(ADP)
5055,3r01,5.24,(UNE)
5056,3rjc,5.24,(06Z)
5057,3tz2,5.24,(CLT)
5058,3ueu,5.24,(DAO)
5059,4drm,5.24,(0MC)
5060,4drn,5.24,(0MC)
5062,4f7j,5.24,(0SU)
5063,4fk7,5.24,(P34)
5064,4gue,5.24,(QCT)
5065,4idn,5.24,(GNP)
5066,4ih7,5.24,(1ER)
5067,4j70,5.24,(1KR)
5068,4non,5.24,(GDP)
5069,4o7e,5.24,(2RN)
5073,4y59,5.24,(T21)
5074,4zv1,5.24,(ARG)
5075,5d24,5.24,(L26)
5076,5d3j,5.24,(L33)
5077,5d6q,5.24,(57V)
5078,5edd,5.24,(DUP)
5081,5w1e,5.24,(PHB)
5084,2bfr,5.25,(ADP)
5088,3pj3,5.25,(04L)
5089,3r24,5.25,(SAM)
5090,3tdj,5.25,(3TJ)
5092,4flk,5.25,(Y10)
5094,4pkv,5.25,(30R)
5095,5b5f,5.25,(6F3)
5096,5b5g,5.25,(6FX)
5097,5du4,5.25,(5FF)
5099,5q17,5.25,(9MV)
5100,5twj,5.25,(SAM)
5102,5yie,5.25,(8VF)
5103,6ccm,5.25,(EXP)
5105,1v0o,5.26,(INR)
5106,1w4q,5.26,(UMF)
5107,2brn,5.26,(DF1)
5108,2oz6,5.26,(CMP)
5109,2qft,5.26,(GPJ)
5110,2vcb,5.26,(OAN)
5111,3n9s,5.26,(TD4)
5112,3sb0,5.26,(I93)
5114,4jaj,5.26,(XU1)
5116,4omj,5.26,(2TX)
5117,4qz5,5.26,(04C)
5118,4r5x,5.26,(R5X)
5119,4w9g,5.26,(3JV)
5120,5a7i,5.26,(B6K)
5121,5akz,5.26,(6NX)
5122,5c7c,5.26,(4YC)
5123,5gs9,5.26,(ARG)
5124,5iq6,5.26,(6CJ)
5125,5kxc,5.26,(6Y2)
5128,1qca,5.27,(FUA)
5129,2az5,5.27,(307)
5131,2x7u,5.27,(WZA)
5132,3bmo,5.27,(AX4)
5133,3chp,5.27,(4BO)
5135,3sz9,5.27,(I3E)
5136,3tkw,5.27,(017)
5137,3zrc,5.27,(L8B)
5138,4jfs,5.27,(16Z)
5139,4pl4,5.27,(31K)
5140,4r6w,5.27,(SAH)
5141,4r6x,5.27,(SAH)
5142,4yzm,5.27,(4K4)
5143,4zx6,5.27,(4U6)
5144,5hwu,5.27,(DUP)
5146,5irr,5.27,(GSP)
5147,5ltn,5.27,(XI7)
5149,5v5d,5.27,(8OY)
5150,6cj1,5.27,(F2S)
5153,1f5l,5.28,(AMR)
5154,1kfy,5.28,(BRS)
5156,2uw4,5.28,(L15)
5157,2vip,5.28,(L1R)
5158,2x2l,5.28,(X2L)
5160,3bbf,5.28,(GDP)
5162,3hxc,5.28,(BD6)
5163,3o5x,5.28,(JZG)
5164,3t4h,5.28,(MD5)
5165,3zmh,5.28,(L62)
5166,4e70,5.28,(N7I)
5169,4n9b,5.28,(2HH)
5171,5ect,5.28,(DUP)
5172,5faq,5.28,(5VW)
5173,5g5f,5.28,(GSH)
5174,5ief,5.28,(NBV)
5175,5urj,5.28,(8LS)
5176,5urm,5.28,(8LV)
5177,5vqq,5.28,(9JP)
5178,5xpi,5.28,(8C3)
5179,6ei4,5.28,(B5N)
5180,6g0w,5.28,(EGW)
5181,1c88,5.29,(OTA)
5182,1wum,5.29,(NP2)
5183,2wc4,5.29,(AMF)
5184,2xzw,5.29,(AKG)
5186,3pcu,5.29,(LX8)
5187,4fll,5.29,(YZ6)
5188,4mhs,5.29,(26Q)
5190,4wy1,5.29,(3VO)
5191,5hrv,5.29,(64C)
5192,5hrx,5.29,(64F)
5194,5yls,5.29,(Y50)
5195,1a69,5.3,(FMB)
5196,1di9,5.3,(MSQ)
5197,1g9a,5.3,(BAB)
5198,1g9b,5.3,(BAB)
5199,1g9c,5.3,(BAB)
5200,1g9d,5.3,(BAB)
5201,1h6h,5.3,(PIB)
5202,1jg0,5.3,(DDT)
5203,1o0f,5.3,(A3P)
5206,1pr1,5.3,(FMB)
5207,1srg,5.3,(MHB)
5208,1v2h,5.3,(GUN)
5209,1vyq,5.3,(DUX)
5210,1w0x,5.3,(OLO)
5211,1xbb,5.3,(STI)
5212,1yxd,5.3,(LYS)
5217,2o1v,5.3,(ADP)
5218,2oyk,5.3,(9MR)
5219,2q7q,5.3,(C2B)
5220,2vj1,5.3,(XP1)
5221,2vk6,5.3,(DAN)
5222,2ww0,5.3,(SWA)
5223,2zxb,5.3,(ZXB)
5224,3b9s,5.3,(RW1)
5227,3cpc,5.3,(C52)
5229,3elj,5.3,(GS7)
5230,3eql,5.3,(MXP)
5231,3gpo,5.3,(APR)
5233,3jzf,5.3,(JZK)
5234,3jzi,5.3,(JZL)
5235,3p8h,5.3,(P8H)
5237,3pgl,5.3,(RZX)
5238,3ppo,5.3,(DCK)
5239,3q2a,5.3,(PAB)
5240,3r8u,5.3,(Z31)
5241,3ri1,5.3,(3RH)
5243,4dhu,5.3,(0KH)
5245,4e5i,5.3,(0N9)
5246,4emt,5.3,(C2E)
5247,4jvi,5.3,(QZN)
5248,4mic,5.3,(26Y)
5250,4o55,5.3,(LF9)
5251,4ob0,5.3,(PBC)
5253,4wi1,5.3,(3O6)
5255,4xsy,5.3,(42T)
5256,4xue,5.3,(43J)
5259,5a85,5.3,(78J)
5261,5bwb,5.3,(4VV)
5263,5eyr,5.3,(5T0)
5265,5n16,5.3,(8FN)
5268,5w19,5.3,(9TD)
5269,5x9o,5.3,(80R)
5270,5yji,5.3,(8WO)
5271,6d2o,5.3,(4MZ)
5272,1hk4,5.31,(T44)
5274,3fcb,5.31,(IFB)
5277,4m3f,5.31,(2D1)
5279,4or6,5.31,(GDP)
5280,4u1b,5.31,(Q08)
5282,4x6k,5.31,(3XR)
5284,5eij,5.31,(5OT)
5285,5j47,5.31,(6JJ)
5286,5km0,5.31,(IMP)
5287,5n2z,5.31,(8JH)
5289,1al8,5.32,(DHP)
5290,1lvu,5.32,(9PP)
5291,1mqj,5.32,(HWD)
5292,1oim,5.32,(NOJ)
5293,1y20,5.32,(1AC)
5294,2f6z,5.32,(UN5)
5296,3rpy,5.32,(27Z)
5297,3sqq,5.32,(99Z)
5298,3tv5,5.32,(RCP)
5300,3v3m,5.32,(0EN)
5301,4h2j,5.32,(0YU)
5302,4hbw,5.32,(14Z)
5303,4ipi,5.32,(LMR)
5304,4m7y,5.32,(2GH)
5305,4qag,5.32,(F95)
5306,4r07,5.32,(UCG)
5307,4us3,5.32,(TRP)
5308,4us4,5.32,(TRP)
5309,4xjr,5.32,(OEL)
5310,4yb6,5.32,(HIS)
5311,5ayy,5.32,(NTM)
5312,5g1z,5.32,(U53)
5313,5ks7,5.32,(2BA)
5315,5n17,5.32,(8FK)
5316,5t4u,5.32,(12Q)
5317,6g0z,5.32,(GDP)
5318,6h1u,5.32,(ASP)
5319,2c80,5.33,(GTX)
5320,2n14,5.33,(49H)
5321,3arx,5.33,(POY)
5322,3ftq,5.33,(GNP)
5324,3hxe,5.33,(BD8)
5326,3ozs,5.33,(OZS)
5327,3q1x,5.33,(SER)
5328,3rzi,5.33,(TRP)
5329,3wi6,5.33,(YRZ)
5330,4b3u,5.33,(NWL)
5331,4giu,5.33,(636)
5332,4mcd,5.33,(22L)
5333,4mep,5.33,(24Y)
5334,4xy9,5.33,(43U)
5337,5nf9,5.33,(8VW)
5338,5nhz,5.33,(8XZ)
5339,5q12,5.33,(9MA)
5340,5zh5,5.33,(9CX)
5343,1hee,5.34,(LHY)
5345,1k06,5.34,(BZD)
5346,1k08,5.34,(BZD)
5347,1zgi,5.34,(382)
5348,2qnb,5.34,(BZD)
5349,3atv,5.34,(ADP)
5350,3efs,5.34,(ATP)
