proteinName,affinity,ligandName
4mz6,5.02,(13-mer)
4nro,5.02,(AKG)
4rlk,5.02,(E91)
4rll,5.02,(E91)
4u70,5.02,(Q04)
4w4s,5.02,(B29)
4w9l,5.02,(3JJ)
5d1s,5.02,(56Q)
5du6,5.02,(G59)
5ff6,5.02,(12-mer)
5iok,5.02,(8-mer)
1i1e,5.03,(DM2)
2qt5,5.03,(9-mer)
3aje,5.03,(THR)
3rdh,5.03,(3RD)
4io5,5.03,(ALA)
4jjq,5.03,(10-mer)
4np9,5.03,(I3P)
4rcg,5.03,(GDP)
4trz,5.03,(4-mer)
4y6s,5.03,(48S)
4y7r,5.03,(8-mer)
4yat,5.03,(4A8)
5huy,5.03,(12-mer)
5mlw,5.03,(11-mer)
5mrm,5.03,(Q9T)
5n3y,5.03,(8L2)
5nyz,5.03,(DUP)
5nz2,5.03,(DUP)
5wio,5.03,(XXE)
5x4p,5.03,(7ZO)
6b27,5.03,(14-mer)
6bhd,5.03,(18-mer)
6emu,5.03,(SAM)
6fby,5.03,(8-mer)
6fmi,5.03,(DV2)
1m5d,5.04,(BRH)
1mfa,5.04,(3-mer)
2h2g,5.04,(11-mer)
2jmj,5.04,(10-mer)
2oht,5.04,(IP6)
2w85,5.04,(12-mer)
2wmv,5.04,(ZYV)
3tz0,5.04,(03H)
3v4j,5.04,(PQR)
4dgr,5.04,(3LV)
4jaz,5.04,(STL)
4jym,5.04,(KKN)
4lk7,5.04,(2-mer)
4lph,5.04,(YL3)
4uu5,5.04,(17-mer)
4yp1,5.04,(2BA)
4yuz,5.04,(4JV)
4z7n,5.04,(4-mer)
4z7o,5.04,(4-mer)
5d3n,5.04,(L40)
5f25,5.04,(5TU)
5loh,5.04,(STU)
5lyn,5.04,(7-mer)
5ovp,5.04,(7-mer)
5xyy,5.04,(P0F)
6ayn,5.04,(11-mer)
1dgm,5.05,(ADN)
1fkw,5.05,(PUR)
1gi8,5.05,(BMZ)
1qxk,5.05,(429)
1uu8,5.05,(BI1)
2brc,5.05,(CT5)
2n9e,5.05,(15-mer)
3aau,5.05,(GZC)
3fpm,5.05,(793)
3hxd,5.05,(BD7)
3s2o,5.05,(EV6)
3s76,5.05,(EVH)
3sxu,5.05,(5-mer)
3uzd,5.05,(17-mer)
3zjc,5.05,(GNP)
4c94,5.05,(KXN)
4euo,5.05,(ABU)
4fmq,5.05,(17-mer)
4ie7,5.05,(RHN)
4kvm,5.05,(5-mer)
4oct,5.05,(AKG)
4oeg,5.05,(SUS-IDY)
4pnw,5.05,(2VM)
4rqv,5.05,(R2S)
4wci,5.05,(16-mer)
4y2y,5.05,(49Z)
4yzu,5.05,(4K6)
5acx,5.05,(WL3)
5auw,5.05,(QUE)
5f29,5.05,(2BA)
5i3a,5.05,(HQE)
5lb7,5.05,(9-mer)
5nxy,5.05,(1Y8)
5xhs,5.05,(3-mer)
5xvk,5.05,(8GC)
5xvq,5.05,(8GC)
6b67,5.05,(7-mer)
6bmi,5.05,(SER)
6d50,5.05,(GCB)
6eww,5.05,(8-mer)
6exi,5.05,(ADN)
2h6k,5.06,(8-mer)
2ipo,5.06,(1IP)
2v77,5.06,(PAY)
2vwf,5.06,(15-mer)
2yge,5.06,(GDM)
3f68,5.06,(91U)
3p9h,5.06,(11-mer)
4cfx,5.06,(G6T)
4ebw,5.06,(0PF)
4h7q,5.06,(COI)
4j7i,5.06,(11-mer)
5a2i,5.06,(6-mer)
5c1w,5.06,(4XS)
5ega,5.06,(GK0)
5h14,5.06,(LQB)
5i0b,5.06,(67U)
5icy,5.06,(12-mer)
5luu,5.06,(77X)
5ops,5.06,(A3Q)
5tri,5.06,(7HM)
5vjn,5.06,(IR8)
2c3l,5.07,(IDZ)
2i7c,5.07,(AAT)
2xm1,5.07,(LTM)
2yfa,5.07,(LMR)
3axm,5.07,(6PG)
3juo,5.07,(AJD)
3r00,5.07,(UNJ)
4eok,5.07,(4SP)
4f8j,5.07,(HC4)
4knz,5.07,(UMC)
4yab,5.07,(4CN)
5ak3,5.07,(XM0)
5dg6,5.07,(V66)
5hwv,5.07,(MBN)
5l87,5.07,(6RD)
5u12,5.07,(5RU)
6axp,5.07,(11-mer)
6dik,5.07,(GKP)
6dq6,5.07,(H6J)
1enu,5.08,(APZ)
1gfy,5.08,(COL)
2qtg,5.08,(MTH)
3efr,5.08,(BTN)
3m94,5.08,(M7M)
3nw5,5.08,(LGX)
3qsb,5.08,(743)
3qyy,5.08,(C2E)
3snd,5.08,(6-mer)
3tb6,5.08,(ARB)
3w2o,5.08,(03P)
4drk,5.08,(I63)
4ie0,5.08,(PD2)
4mho,5.08,(26M)
4ock,5.08,(ANP)
4ocv,5.08,(ANP)
4od7,5.08,(9-mer)
4oiv,5.08,(XX9)
4twd,5.08,(377)
4xx9,5.08,(RF4)
4z2h,5.08,(M6A)
5gmj,5.08,(19-mer)
5i13,5.08,(4P9)
5j32,5.08,(IPM)
5n2t,5.08,(8KK)
5trh,5.08,(7HL)
1m48,5.09,(FRG)
1nw7,5.09,(SAH)
1yyy,5.09,(0KV)
1zkl,5.09,(IBM)
2y1o,5.09,(T26)
2ygf,5.09,(GDM)
2yk9,5.09,(YK9)
3hbo,5.09,(2NC)
3o4l,5.09,(9-mer)
3w2p,5.09,(W2P)
4c72,5.09,(TLG)
4cq0,5.09,(SXS)
4f6x,5.09,(ZYL)
4qvy,5.09,(BO2)
4r4q,5.09,(3HZ)
4utv,5.09,(9-mer)
4x3u,5.09,(SVR)
4xpj,5.09,(LPY)
5fhm,5.09,(5XP)
5h5s,5.09,(14-mer)
5hkh,5.09,(9-mer)
5jmx,5.09,(DZ5)
5o9p,5.09,(9P8)
6e86,5.09,(8-mer)
1b9t,5.1,(RAI)
1ez9,5.1,(4-mer)
1kmy,5.1,(BPY)
1m6p,5.1,(M6P)
1o0o,5.1,(A2P)
1od8,5.1,(XDL-XYP)
1onz,5.1,(968)
1rlp,5.1,(9-mer)
1rlq,5.1,(9-mer)
1t4j,5.1,(FRJ)
1v0k,5.1,(XDN-XYP)
1v0m,5.1,(XDN-XYP)
1vj6,5.1,(10-mer)
1w7g,5.1,(MIU)
1x8s,5.1,(12-mer)
1yvx,5.1,(IPC)
1zaj,5.1,(M2P)
2am2,5.1,(2LG)
2d1x,5.1,(15-mer)
2h5a,5.1,(X1P)
2m41,5.1,(15-mer)
2pnx,5.1,(12-mer)
2qrq,5.1,(S13)
2r02,5.1,(11-mer)
2r9w,5.1,(23C)
3bxs,5.1,(DRS)
3gy4,5.1,(PBZ)
3h22,5.1,(B53)
3nif,5.1,(NIF)
3p4v,5.1,(PMX)
3qw8,5.1,(5-mer)
3syr,5.1,(GPK)
3u3f,5.1,(17-mer)
3ujb,5.1,(SAH)
3vp2,5.1,(BP0)
3zvy,5.1,(8-mer)
4b77,5.1,(54M)
4cdr,5.1,(9-mer)
4dcs,5.1,(GDP)
4ejf,5.1,(18-mer)
4h3q,5.1,(13-mer)
4iho,5.1,(9-mer)
4qsh,5.1,(2BA)
4qsk,5.1,(2BA)
4qvn,5.1,(BO2)
4rkx,5.1,(3S9)
4rn6,5.1,(15U)
4tk3,5.1,(11-mer)
4tk4,5.1,(11-mer)
4ux9,5.1,(12-mer)
4ydf,5.1,(4B1)
5d3h,5.1,(57G)
5f39,5.1,(5UB)
5iv2,5.1,(12-mer)
5q1h,5.1,(9NP)
5xhr,5.1,(PXH)
6ap8,5.1,(BNY)
6ce6,5.1,(EYP)
1k4h,5.11,(APQ)
1yp9,5.11,(UIZ)
2h6q,5.11,(9-mer)
3gpj,5.11,(SY2)
3hnb,5.11,(768)
3k4d,5.11,(EVA)
3ozj,5.11,(BGV)
4b6u,5.11,(M7G)
4e49,5.11,(RCO)
4em7,5.11,(0RA)
4gly,5.11,(14-mer)
4qfl,5.11,(2-mer)
5c7d,5.11,(4YF)
5kej,5.11,(GTX)
5lbq,5.11,(767)
5lm6,5.11,(H32)
5ngf,5.11,(8WN)
5ogk,5.11,(GDD)
5u0e,5.11,(7R4)
5vqu,5.11,(9JP)
5y0x,5.11,(8JR)
6f0y,5.11,(15-mer)
1qaw,5.12,(TRP)
1uv6,5.12,(CCE)
2i5f,5.12,(5IP)
2web,5.12,(PP4)
2y8o,5.12,(14-mer)
2yjw,5.12,(YJW)
2yjx,5.12,(YJX)
3bki,5.12,(FQX)
3hb8,5.12,(UMP)
3kad,5.12,(4C0)
3n2c,5.12,(LWY)
3nkx,5.12,(10-mer)
3tu9,5.12,(5MM)
3zso,5.12,(O2N)
4ay6,5.12,(12V)
4bio,5.12,(8XQ)
4f1l,5.12,(0RY)
4gj6,5.12,(0LS)
4h81,5.12,(WJ2)
4kiw,5.12,(KIW)
4m5n,5.12,(YH7)
4pci,5.12,(2NJ)
4zed,5.12,(AGW)
5d1w,5.12,(PLM)
5f74,5.12,(AMP)
5vsb,5.12,(9QA)
5wkm,5.12,(N02/B6Y)
5y1u,5.12,(12-mer)
6bh8,5.12,(RDF)
1gcz,5.13,(YZ9)
1hti,5.13,(PGA)
2kwn,5.13,(15-mer)
2x4t,5.13,(9-mer)
3aza,5.13,(KM0)
3o8g,5.13,(O8G)
3s9e,5.13,(GLU)
3wk4,5.13,(S0A)
4ezt,5.13,(9-mer)
4flj,5.13,(Y08)
4l7c,5.13,(1VW)
4qms,5.13,(1N1)
5d3p,5.13,(57E)
5hda,5.13,(9-mer)
6f9u,5.13,(D0W)
1pmx,5.14,(16-mer)
1w2x,5.14,(RCP)
1y3x,5.14,(UIB)
1zzz,5.14,(0IV)
2br1,5.14,(PFP)
2hqu,5.14,(DUP)
2lct,5.14,(13-mer)
2xi7,5.14,(XI7)
2yaz,5.14,(UMP)
2zjv,5.14,(CT4)
3bls,5.14,(APB)
3kr2,5.14,(ET2)
3pj2,5.14,(04K)
3sow,5.14,(9-mer)
3tao,5.14,(PGH)
3wuu,5.14,(14-mer)
4aua,5.14,(4AU)
4bdj,5.14,(Z2M)
4c1g,5.14,(MCO)
4ejl,5.14,(IOP)
4iks,5.14,(TFD)
4qw0,5.14,(BO2)
4xjt,5.14,(41Z)
5btr,5.14,(5-mer)
5kva,5.14,(SAM)
5q11,5.14,(9M7)
5zh4,5.14,(9CC)
6b7c,5.14,(CWP)
6dak,5.14,(G1Y)
6gw1,5.14,(CHO)
6gzl,5.14,(17-mer)
6mvx,5.14,(K4D)
6mx3,5.14,(K5P)
1g6s,5.15,(S3P)
1jcx,5.15,(PAI)
1jvu,5.15,(C2P)
1kna,5.15,(15-mer)
1ljt,5.15,(HDI)
1lkx,5.15,(ADP)
1mzs,5.15,(669)
1o0m,5.15,(U2P)
1pb8,5.15,(DSN)
1qk3,5.15,(5GP)
1qxw,5.15,(M1C)
1s38,5.15,(MAQ)
1skj,5.15,(UR2)
1t1s,5.15,(CBQ)
1thz,5.15,(326)
2afx,5.15,(1BN)
2go4,5.15,(TUX)
2gtv,5.15,(TSA)
2knh,5.15,(18-mer)
2o5d,5.15,(VR1)
2ooz,5.15,(OX5)
2r03,5.15,(8-mer)
2r05,5.15,(11-mer)
2xrw,5.15,(14-mer)
2xs0,5.15,(14-mer)
3b95,5.15,(15-mer)
3e6k,5.15,(ABH)
3l5c,5.15,(BDQ)
3msl,5.15,(EV5)
3n49,5.15,(3N4)
3ozr,5.15,(OZR)
3p8e,5.15,(LN7)
3udn,5.15,(09B)
4b83,5.15,(B3V)
4h85,5.15,(HRI)
4jpx,5.15,(PHE)
4pce,5.15,(2N0)
4qip,5.15,(SDS)
4qrh,5.15,(0O2)
4qvv,5.15,(BO2)
4qzw,5.15,(04C)
4w9e,5.15,(3JT)
5alw,5.15,(JQN)
5djp,5.15,(5BJ)
5gp7,5.15,(10-mer)
5kqg,5.15,(6VX)
5mwz,5.15,(KGU)
5vew,5.15,(97Y)
5xg4,5.15,(QUE)
5y2f,5.15,(8L9)
6b95,5.15,(D0P)
6f8t,5.15,(CZT)
1jqd,5.16,(SAH)
1oe0,5.16,(TTP)
1q1m,5.16,(234)
2ltv,5.16,(12-mer)
2y2k,5.16,(ZA5)
3b27,5.16,(B2T)
3ctr,5.16,(MGP)
3lqi,5.16,(9-mer)
4fqo,5.16,(AZ3)
5ow8,5.16,(AYN)
5th7,5.16,(75P)
5ufc,5.16,(3-mer)
5v83,5.16,(8Z7)
6mjf,5.16,(SAH)
1q0b,5.17,(NAT)
2f5t,5.17,(MAL)
2ynn,5.17,(8-mer)
2zfp,5.17,(19U)
3b7j,5.17,(JUG)
3eht,5.17,(16-mer)
3nzx,5.17,(5-mer)
3rni,5.17,(21Z)
3tc5,5.17,(3T5)
3uvw,5.17,(12-mer)
3wuv,5.17,(14-mer)
4gkm,5.17,(683)
4h3b,5.17,(10-mer)
4kp4,5.17,(ANP)
4m5i,5.17,(YH6)
4mdm,5.17,(26E)
5ahw,5.17,(CMP)
5aut,5.17,(2AN)
5diq,5.17,(5B9)
5fdz,5.17,(5X0)
5hm3,5.17,(649)
5svi,5.17,(8-mer)
5ubg,5.17,(PRT)
6cbf,5.17,(EWD)
6evo,5.17,(9-mer)
6hf5,5.17,(G1N)
6hwz,5.17,(GXE)
1ft7,5.18,(PLU)
1xur,5.18,(PB5)
2p9a,5.18,(YE6)
2qrg,5.18,(M07)
3iqv,5.18,(6-mer)
3kag,5.18,(4D7)
3w37,5.18,(ACR)
4duh,5.18,(RLI)
4iif,5.18,(CTS)
4u73,5.18,(Q02)
4zs3,5.18,(A4F)
5tbp,5.18,(7A4)
6ar9,5.18,(3L4)
6dnp,5.18,(GZV)
1ocq,5.19,(IFM-BGC)
1ogg,5.19,(3-mer)
1oxr,5.19,(AIN)
1rnt,5.19,(2GP)
2c5o,5.19,(CK2)
2ko7,5.19,(JZF)
2lha,5.19,(IHP)
2mnz,5.19,(10-mer)
2nxm,5.19,(10-mer)
2qdt,5.19,(I38)
2xey,5.19,(YVQ)
3kjn,5.19,(B93)
3s1g,5.19,(ITE)
3t4p,5.19,(4-mer)
3twr,5.19,(16-mer)
3vfq,5.19,(AR6)
4ezz,5.19,(7-mer)
4fxf,5.19,(FBP)
4g0l,5.19,(GSH)
4m0z,5.19,(M0Z)
4ono,5.19,(PMK)
4qok,5.19,(10-mer)
5h21,5.19,(RMR)
5otz,5.19,(AUT)
6cj5,5.19,(F4G)
6dq5,5.19,(H6G)
1kll,5.2,(_MC)
2pmn,5.2,(K51)
3kqs,5.2,(AX7)
3ov1,5.2,(5-mer)
3qj0,5.2,(QI3)
3t7g,5.2,(17-mer)
3tjm,5.2,(7FA)
3uu1,5.2,(14B)
3wk6,5.2,(S0B)
4a6s,5.2,(GS9)
4b70,5.2,(WM9)
4bw2,5.2,(UTH)
4ezq,5.2,(9-mer)
4ezr,5.2,(8-mer)
4lk6,5.2,(GAL-LRD)
4mk0,5.2,(29X)
4qvq,5.2,(BO2)
5a7j,5.2,(K2Y)
5aia,5.2,(KWB)
5emb,5.2,(8-mer)
5f91,5.2,(5WJ)
5g1p,5.2,(CP)
5hg1,5.2,(62C)
5lu2,5.2,(13-mer)
5q10,5.2,(9M4)
1nw5,5.21,(SAM)
1o2r,5.21,(CR9)
1ox9,5.21,(11-mer)
1re1,5.21,(NA3)
2brg,5.21,(DFY)
2mlm,5.21,(2W7)
3b2t,5.21,(M33)
3bcs,5.21,(CJB)
3ilq,5.21,(1O2)
3nsq,5.21,(CHZ)
3qiz,5.21,(QI2)
3rth,5.21,(RTH)
3wqv,5.21,(5-mer)
4cwo,5.21,(T62)
4few,5.21,(PP2)
4h2m,5.21,(0YV)
4ifh,5.21,(1EF)
4je8,5.21,(3-mer)
4m0r,5.21,(644)
4mds,5.21,(23H)
4qz2,5.21,(04C)
5e0j,5.21,(5LJ)
5mxr,5.21,(JTY)
5o9q,5.21,(9PH)
5oje,5.21,(VSK)
5trk,5.21,(7HH)
5ty1,5.21,(7QV)
5ty9,5.21,(7QV)
5wag,5.21,(A0V)
5x13,5.21,(HC4)
6asu,5.21,(BVS)
6f8b,5.21,(CXH)
6g84,5.21,(16-mer)
6g85,5.21,(16-mer)
7prc,5.21,(CET)
16pk,5.22,(BIS)
1bq4,5.22,(BHC)
1f3j,5.22,(14-mer)
1gi9,5.22,(123)
1gjd,5.22,(136)
1h1h,5.22,(A2P)
1irs,5.22,(11-mer)
1j17,5.22,(ZEN)
1o5c,5.22,(CR9)
1pw6,5.22,(FRB)
1ucn,5.22,(ADP)
1w4o,5.22,(UA3)
1zea,5.22,(9-mer)
1zz2,5.22,(B11)
2gnf,5.22,(Y27)
2gnj,5.22,(Y27)
2gz2,5.22,(A2P)
2hxm,5.22,(302)
2koh,5.22,(16-mer)
2qbx,5.22,(12-mer)
2rfy,5.22,(CBI)
2wzm,5.22,(NA7)
2xow,5.22,(ISM)
2xwy,5.22,(IB8)
2zxd,5.22,(ZXD)
3dne,5.22,(LL1)
3ds3,5.22,(12-mer)
3h85,5.22,(8-mer)
3ijz,5.22,(15C)
3iof,5.22,(IFS)
3lq2,5.22,(TDP)
3lq4,5.22,(TDP)
3ms9,5.22,(MS9)
3n1c,5.22,(F6P)
3n5j,5.22,(GO1)
3nti,5.22,(13-mer)
3o6t,5.22,(PX5)
3osi,5.22,(XDH)
3ppp,5.22,(BET)
3q71,5.22,(AR6)
3qxt,5.22,(MTX)
3udp,5.22,(09D)
3vbw,5.22,(0FN)
4kup,5.22,(1TZ)
4lrr,5.22,(CF9)
4r5g,5.22,(3JE)
4u71,5.22,(Q03)
4z8d,5.22,(4LB)
5cgj,5.22,(51M)
5dhs,5.22,(5AG)
5dkr,5.22,(5CZ)
5ev8,5.22,(3R9)
5ioy,5.22,(6C5)
5ja0,5.22,(FPP)
5ksv,5.22,(15-mer)
5u6k,5.22,(13-mer)
6di0,5.22,(GJG)
6f4n,5.22,(AKG)
1b4z,5.23,(3-mer)
1ndw,5.23,(FR2)
2q38,5.23,(LSA)
3dcq,5.23,(2G0)
3lc3,5.23,(IYX)
3pxy,5.23,(JWS)
3pxz,5.23,(JWS)
3wqw,5.23,(6-mer)
4m5k,5.23,(YH3)
4mh7,5.23,(MH7)
4qp7,5.23,(363)
5ema,5.23,(8-mer)
5tzo,5.23,(7V7)
5zms,5.23,(4-mer)
6bhv,5.23,(DQV)
1fh7,5.24,(2-mer)
1hk5,5.24,(T44)
1q8w,5.24,(M77)
1s89,5.24,(PGA)
1zrz,5.24,(BI1)
2jfz,5.24,(003)
2k3w,5.24,(16-mer)
2lsr,5.24,(16-mer)
2qq7,5.24,(SR2)
2vgc,5.24,(V35)
2vvt,5.24,(I24)
3aw0,5.24,(6-mer)
3e16,5.24,(B4C)
3m59,5.24,(11-mer)
3mle,5.24,(ADP)
3mqf,5.24,(20X)
3okh,5.24,(OKH)
3pb8,5.24,(AHN)
3qck,5.24,(NX5)
3qxh,5.24,(ADP)
3r01,5.24,(UNE)
3rjc,5.24,(06Z)
3tz2,5.24,(CLT)
3ueu,5.24,(DAO)
4drm,5.24,(0MC)
4drn,5.24,(0MC)
4e81,5.24,(10-mer)
4f7j,5.24,(0SU)
4fk7,5.24,(P34)
4gue,5.24,(QCT)
4idn,5.24,(GNP)
4ih7,5.24,(1ER)
4j70,5.24,(1KR)
4non,5.24,(GDP)
4o7e,5.24,(2RN)
4utx,5.24,(9-mer)
4uua,5.24,(9-mer)
4x6s,5.24,(11-mer)
4y59,5.24,(T21)
4zv1,5.24,(ARG)
5d24,5.24,(L26)
5d3j,5.24,(L33)
5d6q,5.24,(57V)
5edd,5.24,(DUP)
5hjd,5.24,(7-mer)
5n7x,5.24,(12-mer)
5w1e,5.24,(PHB)
6cf6,5.24,(13-mer)
1okw,5.25,(7-mer)
2bfr,5.25,(ADP)
2pv3,5.25,(12-mer)
2xl2,5.25,(14-mer)
2xl3,5.25,(14-mer)
3pj3,5.25,(04L)
3r24,5.25,(SAM)
3tdj,5.25,(3TJ)
3u1i,5.25,(5-mer)
4flk,5.25,(Y10)
4j2c,5.25,(17-mer)
4pkv,5.25,(30R)
5b5f,5.25,(6F3)
5b5g,5.25,(6FX)
5du4,5.25,(5FF)
5nfa,5.25,(8VQ)
5q17,5.25,(9MV)
5twj,5.25,(SAM)
5xup,5.25,(12-mer)
5yie,5.25,(8VF)
6ccm,5.25,(EXP)
6fc6,5.25,(11-mer)
1v0o,5.26,(INR)
1w4q,5.26,(UMF)
2brn,5.26,(DF1)
2oz6,5.26,(CMP)
2qft,5.26,(GPJ)
2vcb,5.26,(OAN)
3n9s,5.26,(TD4)
3sb0,5.26,(I93)
3twx,5.26,(16-mer)
4jaj,5.26,(XU1)
4l1u,5.26,(13-mer)
4omj,5.26,(2TX)
4qz5,5.26,(04C)
4r5x,5.26,(R5X)
4w9g,5.26,(3JV)
5a7i,5.26,(B6K)
5akz,5.26,(6NX)
5c7c,5.26,(4YC)
5gs9,5.26,(ARG)
5iq6,5.26,(6CJ)
5kxc,5.26,(6Y2)
5vlk,5.26,(11-mer)
6fdp,5.26,(9-mer)
1qca,5.27,(FUA)
2az5,5.27,(307)
2lsv,5.27,(9-mer)
2x7u,5.27,(WZA)
3bmo,5.27,(AX4)
3chp,5.27,(4BO)
3g2u,5.27,(13-mer)
3sz9,5.27,(I3E)
3tkw,5.27,(017)
3zrc,5.27,(L8B)
4jfs,5.27,(16Z)
4pl4,5.27,(31K)
4r6w,5.27,(SAH)
4r6x,5.27,(SAH)
4yzm,5.27,(4K4)
4zx6,5.27,(4U6)
5hwu,5.27,(DUP)
5ir1,5.27,(12-mer)
5irr,5.27,(GSP)
5ltn,5.27,(XI7)
5mxo,5.27,(3-mer)
5v5d,5.27,(8OY)
6cj1,5.27,(F2S)
1b46,5.28,(3-mer)
1ckb,5.28,(10-mer)
1f5l,5.28,(AMR)
1kfy,5.28,(BRS)
1s5q,5.28,(16-mer)
2uw4,5.28,(L15)
2vip,5.28,(L1R)
2x2l,5.28,(X2L)
2yjq,5.28,(3-mer)
3bbf,5.28,(GDP)
3coj,5.28,(13-mer)
3hxc,5.28,(BD6)
3o5x,5.28,(JZG)
3t4h,5.28,(MD5)
3zmh,5.28,(L62)
4e70,5.28,(N7I)
4gxl,5.28,(14-mer)
4j46,5.28,(4-mer)
4n9b,5.28,(2HH)
5e0m,5.28,(13-mer)
5ect,5.28,(DUP)
5faq,5.28,(5VW)
5g5f,5.28,(GSH)
5ief,5.28,(NBV)
5urj,5.28,(8LS)
5urm,5.28,(8LV)
5vqq,5.28,(9JP)
5xpi,5.28,(8C3)
6ei4,5.28,(B5N)
6g0w,5.28,(EGW)
1c88,5.29,(OTA)
1wum,5.29,(NP2)
2wc4,5.29,(AMF)
2xzw,5.29,(AKG)
3che,5.29,(4-mer)
3pcu,5.29,(LX8)
4fll,5.29,(YZ6)
4mhs,5.29,(26Q)
4u0g,5.29,(7-mer)
4wy1,5.29,(3VO)
5hrv,5.29,(64C)
5hrx,5.29,(64F)
5y59,5.29,(12-mer)
5yls,5.29,(Y50)
1a69,5.3,(FMB)
1di9,5.3,(MSQ)
1g9a,5.3,(BAB)
1g9b,5.3,(BAB)
1g9c,5.3,(BAB)
1g9d,5.3,(BAB)
1h6h,5.3,(PIB)
1jg0,5.3,(DDT)
1o0f,5.3,(A3P)
1p4u,5.3,(13-mer)
1pdq,5.3,(18-mer)
1pr1,5.3,(FMB)
1srg,5.3,(MHB)
1v2h,5.3,(GUN)
1vyq,5.3,(DUX)
1w0x,5.3,(OLO)
1xbb,5.3,(STI)
1yxd,5.3,(LYS)
2fsa,5.3,(15-mer)
2gph,5.3,(16-mer)
2ke1,5.3,(10-mer)
2m3o,5.3,(11-mer)
2o1v,5.3,(ADP)
2oyk,5.3,(9MR)
2q7q,5.3,(C2B)
2vj1,5.3,(XP1)
2vk6,5.3,(DAN)
2ww0,5.3,(SWA)
2zxb,5.3,(ZXB)
3b9s,5.3,(RW1)
3btr,5.3,(15-mer)
3ckr,5.3,(009)
3cpc,5.3,(C52)
3ebb,5.3,(10-mer)
3elj,5.3,(GS7)
3eql,5.3,(MXP)
3gpo,5.3,(APR)
3hs8,5.3,(12-mer)
3jzf,5.3,(JZK)
3jzi,5.3,(JZL)
3p8h,5.3,(P8H)
3p9l,5.3,(8-mer)
3pgl,5.3,(RZX)
3ppo,5.3,(DCK)
3q2a,5.3,(PAB)
3r8u,5.3,(Z31)
3ri1,5.3,(3RH)
3upv,5.3,(7-mer)
4dhu,5.3,(0KH)
4dx9,5.3,(15-mer)
4e5i,5.3,(0N9)
4emt,5.3,(C2E)
4jvi,5.3,(QZN)
4mic,5.3,(26Y)
4nuf,5.3,(16-mer)
4o55,5.3,(LF9)
4ob0,5.3,(PBC)
4oem,5.3,(2-mer)
4wi1,5.3,(3O6)
4x1q,5.3,(10-mer)
4xsy,5.3,(42T)
4xue,5.3,(43J)
4z0d,5.3,(13-mer)
4z0e,5.3,(13-mer)
5a85,5.3,(78J)
5ajp,5.3,(17-mer)
5bwb,5.3,(4VV)
5dah,5.3,(11-mer)
5eyr,5.3,(5T0)
5icz,5.3,(12-mer)
5n16,5.3,(8FN)
5v3r,5.3,(18-mer)
5vnb,5.3,(10-mer)
5w19,5.3,(9TD)
5x9o,5.3,(80R)
5yji,5.3,(8WO)
6d2o,5.3,(4MZ)
1hk4,5.31,(T44)
1mfd,5.31,(3-mer)
3fcb,5.31,(IFB)
3m53,5.31,(11-mer)
3v2o,5.31,(19-mer)
4m3f,5.31,(2D1)
4mzk,5.31,(19-mer)
4or6,5.31,(GDP)
4u1b,5.31,(Q08)
4wvt,5.31,(6-mer)
4x6k,5.31,(3XR)
5d0j,5.31,(9-mer)
5eij,5.31,(5OT)
5j47,5.31,(6JJ)
5km0,5.31,(IMP)
5n2z,5.31,(8JH)
6ezi,5.31,(10-mer)
1al8,5.32,(DHP)
1lvu,5.32,(9PP)
1mqj,5.32,(HWD)
1oim,5.32,(NOJ)
1y20,5.32,(1AC)
2f6z,5.32,(UN5)
2w9r,5.32,(11-mer)
3rpy,5.32,(27Z)
3sqq,5.32,(99Z)
3tv5,5.32,(RCP)
3uig,5.32,(15-mer)
3v3m,5.32,(0EN)
4h2j,5.32,(0YU)
4hbw,5.32,(14Z)
4ipi,5.32,(LMR)
4m7y,5.32,(2GH)
4qag,5.32,(F95)
4r07,5.32,(UCG)
4us3,5.32,(TRP)
4us4,5.32,(TRP)
4xjr,5.32,(OEL)
4yb6,5.32,(HIS)
5ayy,5.32,(NTM)
5g1z,5.32,(U53)
5ks7,5.32,(2BA)
5mlo,5.32,(15-mer)
5n17,5.32,(8FK)
5t4u,5.32,(12Q)
6g0z,5.32,(GDP)
6h1u,5.32,(ASP)
2c80,5.33,(GTX)
2n14,5.33,(49H)
3arx,5.33,(POY)
3ftq,5.33,(GNP)
3gjq,5.33,(5-mer)
3hxe,5.33,(BD8)
3ml4,5.33,(13-mer)
3ozs,5.33,(OZS)
3q1x,5.33,(SER)
3rzi,5.33,(TRP)
3wi6,5.33,(YRZ)
4b3u,5.33,(NWL)
4giu,5.33,(636)
4mcd,5.33,(22L)
4mep,5.33,(24Y)
4xy9,5.33,(43U)
5cqx,5.33,(15-mer)
5n8e,5.33,(13-mer)
5nf9,5.33,(8VW)
5nhz,5.33,(8XZ)
5q12,5.33,(9MA)
5zh5,5.33,(9CX)
6fav,5.33,(8-mer)
1aqc,5.34,(10-mer)
1hee,5.34,(LHY)
1jwu,5.34,(13-mer)
1k06,5.34,(BZD)
1k08,5.34,(BZD)
1zgi,5.34,(382)
2qnb,5.34,(BZD)
3atv,5.34,(ADP)
3efs,5.34,(ATP)
3hkq,5.34,(1SD)
3k4q,5.34,(IHS)
3kqt,5.34,(ES7)
3nee,5.34,(B72)
3nrz,5.34,(HPA)
3qiy,5.34,(QI1)
3v3v,5.34,(MYU)
3vb5,5.34,(5-mer)
3vv7,5.34,(0B1)
